Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Sweater Men English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,98;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;4;0;0;0,00;0
Sock English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,09;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Coat English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1,33;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,23;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,17;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,21;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,04;0;0;0;0;0;0;5;0;0;0,00;0
Alpaca Generic English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,8;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;9;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,26;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,75;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,33;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;6;0;0;0,00;0
Alpaca Generic English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,16;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,7;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;7;0;0;0,00;0
Bear English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,63;2;25;0,08;0,46;0,92;2; --;0;0;0,00;0
Sweater English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Accessories English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,21;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,08;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,17;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;1,46;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;6;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,19;0;0;0;0;0;0;7;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,16;3;34;0,0882;0,1;0,31;3,3;6;0;0;0,00;0
Sweater English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1,21;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;9;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,53;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,23;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,7;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;1;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;6;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Vest English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,22;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,26;0;0;0;0;0;0;9;0;0;0,00;0
Poncho English;0,15;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,28;4;528;0,0076;0,2;0,78;1,4;6;0;0;0,00;0
Bear English;0,2;2;9;0,2222;0,08;0,15;2,2;7;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,42;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;1;0;0;0;0;0;0;7;0;0;0,00;0
Sweater English;0,1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;1,13;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,28;0;0;0;0;0;0;6;0;0;0,00;0
Poncho English;0,6;0;0;0;0;0;0; --;0;0;0,00;0
Lluchus English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,08;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,28;0;0;0;0;0;0;9;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Women English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Lluchus English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,24;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;6;0;0;0,00;0
Bolivian Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Lluchus English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,04;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Women English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Lluchus English;0,02;0;9;0;0;0;1;6;0;0;0,00;0
Peruvian Alpaca Clothing English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Women English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;6;0;0;0,00;0
Blanket English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,58;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,15;3;36;0,0833;0,11;0,32;3,1;6;0;0;0,00;0
Poncho English;0,25;3;33;0,0909;0,08;0,24;1,2;6;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,11;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;7;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Gloves English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bear English;0,14;1;137;0,0073;0,14;0,14;1,7;9;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,24;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;9;0;0;0,00;0
Hat English;0,19;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,6;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Balaclava English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,2;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0;8;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,01;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
