Adgroup;MaxCPC;Clicks;Impressions;CTR;AvgCPC;Costo;AvgPosicion;Qscore;Ventas;Costconv;Convrate;Allconv
Evo sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,21;1;13;0,0769;0,08;0,08;2,1;9;0;0;0,00;0
Balaclava English;0,14;0;3;0;0;0;2,3; --;0;0;0,00;0
Gloves English;0,85;5;768;0,0065;0,17;0,86;1,1;7;0;0;0,00;0
Poncho English;0,15;2;26;0,0769;0,12;0,24;2,2;6;0;0;0,00;0
Clothing English;0,2;39;447;0,0872;0,31;12,27;1,5; --;0;0;0,00;0
Sweater English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Ruana English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,26;0;4;0;0;0;1;9;0;0;0,00;0
Bear English;0,22;46;6025;0,0076;0,14;6,62;2,3;9;0;0;0,00;0
Blanket English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;1;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,32;0;0;0;0;0;0; --;0;0;0,00;0
Sweater Men English;0,38;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,35;0;0;0;0;0;0;6;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,15;3;26;0,1154;0,12;0,35;2,8;6;0;0;0,00;0
Alpaca Generic English;0,7;0;2;0;0;0;2;9;0;0;0,00;0
Lluchus English;0,08;0;10;0;0;0;1,2;4;0;0;0,00;0
Scarf English;0,14;3;483;0,0062;0,14;0,41;2; --;0;0;0,00;0
Sweater English;0,14;4;29;0,1379;0,04;0,17;1,3;9;1;0,17;2500,00;1
Poncho English;0,14;0;1;0;0;0;3;6;0;0;0,00;0
Poncho English;0,25;21;323;0,065;0,37;7,78;1,4;7;0;0;0,00;0
Rug English;0,11;0;0;0;0;0;0;6;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;6;0;0;0,00;0
Scarf English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,35;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,28;0;2;0;0;0;2; --;0;0;0,00;0
Alpaca Generic English;0,05;1;58;0,0172;0,05;0,05;3,1;6;0;0;0,00;0
Poncho English;0,14;2;58;0,0345;0,12;0,24;1,9;7;0;0;0,00;0
Peruvian Alpaca Clothing English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Shawl English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Scarf English;0,7;2;64;0,0312;0,3;0,6;1,1;9;0;0;0,00;0
Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Blanket English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,14;4;89;0,0449;0,09;0,37;1,2;6;0;0;0,00;0
Evo sweater English;0,1;0;49;0;0;0;2; --;0;0;0,00;0
Alpaca Generic English;0,17;3;230;0,013;0,11;0,33;1,7;6;0;0;0,00;0
Poncho English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,14;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,35;19;560;0,0339;0,23;4,33;1,4;6;0;0;0,00;0
Peruvian Alpaca Clothing English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;1;0;0;0;0;0;0;8;0;0;0,00;0
Sweater English;0,75;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;0,5;0;0;0;0;0;0; --;0;0;0,00;0
Cardigans English;0,05;0;0;0;0;0;0; --;0;0;0,00;0
Evo sweater English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Jackets English;0,6;0;0;0;0;0;0; --;0;0;0,00;0
Rug English;0,04;0;3;0;0;0;6,7;5;0;0;0,00;0
Gloves English;0,62;16;975;0,0164;0,44;7,05;1,1;6;0;0;0,00;0
Evo sweater English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Sweaters English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,48;2;95;0,0211;0,3;0,61;1,6;9;0;0;0,00;0
Peruvian Alpaca Clothing English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,25;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,34;2;4;0,5;0,22;0,45;1,5;9;0;0;0,00;0
Clothing English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Alpaca Generic English;0,42;1;12;0,0833;0,33;0,33;1,3;6;0;0;0,00;0
Sock English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,09;0;0;0;0;0;0; --;0;0;0,00;0
Sweater English;0,24;0;0;0;0;0;0; --;0;0;0,00;0
Clothing English;0,14;0;0;0;0;0;0;4;0;0;0,00;0
Blanket English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Bolivian Alpaca English;0,02;0;0;0;0;0;0; --;0;0;0,00;0
Poncho English;0,22;0;0;0;0;0;0; --;0;0;0,00;0
Fur English;0,3;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,4;0;0;0;0;0;0; --;0;0;0,00;0
Poncho Evo;0,34;0;0;0;0;0;0; --;0;0;0,00;0
Sock English;0,28;0;0;0;0;0;0; --;0;0;0,00;0
Hat English;0,28;1;9;0,1111;0,08;0,08;2,3;8;0;0;0,00;0
Hat English;0,04;3;49;0,0612;0,03;0,09;3,1;9;0;0;0,00;0
Poncho English;1;4;57;0,0702;0,68;2,71;1,1; --;0;0;0,00;0
